NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,59.95183,1,Brasil,201508,agosto 2015,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,58.02215,1,Brasil,201509,setembro 2015,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.41650,1,Brasil,201510,outubro 2015,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.46035,1,Brasil,201511,novembro 2015,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,81.35380,1,Brasil,201512,dezembro 2015,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,61.61838,1,Brasil,201601,janeiro 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,58.85542,1,Brasil,201602,fevereiro 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.85506,1,Brasil,201603,março 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,61.35524,1,Brasil,201604,abril 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,62.49551,1,Brasil,201605,maio 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,61.92537,1,Brasil,201606,junho 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.59192,1,Brasil,201607,julho 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.89892,1,Brasil,201608,agosto 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,61.44295,1,Brasil,201609,setembro 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,64.64448,1,Brasil,201610,outubro 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,66.39874,1,Brasil,201611,novembro 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,82.97649,1,Brasil,201612,dezembro 2016,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.93197,1,Brasil,201701,janeiro 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,58.79796,1,Brasil,201702,fevereiro 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.16798,1,Brasil,201703,março 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.29043,1,Brasil,201704,abril 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
