NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,2,%,0.50,1,Brasil,201606,junho 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.57,1,Brasil,201607,julho 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.25,1,Brasil,201608,agosto 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.47,1,Brasil,201609,setembro 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.09,1,Brasil,201610,outubro 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.80,1,Brasil,201611,novembro 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.29,1,Brasil,201612,dezembro 2016,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.30,1,Brasil,201701,janeiro 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.45,1,Brasil,201702,fevereiro 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.06,1,Brasil,201703,março 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.11,1,Brasil,201704,abril 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.10,1,Brasil,201705,maio 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.20,1,Brasil,201706,junho 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.01,1,Brasil,201707,julho 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.29,1,Brasil,201708,agosto 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.48,1,Brasil,201709,setembro 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.80,1,Brasil,201710,outubro 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.40,1,Brasil,201711,novembro 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.42,1,Brasil,201712,dezembro 2017,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.47,1,Brasil,201801,janeiro 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.38,1,Brasil,201802,fevereiro 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.08,1,Brasil,201803,março 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.58,1,Brasil,201804,abril 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.55,1,Brasil,201805,maio 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.27,1,Brasil,201806,junho 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.13,1,Brasil,201807,julho 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.86,1,Brasil,201808,agosto 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.91,1,Brasil,201809,setembro 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.68,1,Brasil,201810,outubro 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.62,1,Brasil,201811,novembro 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.56,1,Brasil,201812,dezembro 2018,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.75,1,Brasil,201901,janeiro 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.45,1,Brasil,201902,fevereiro 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.59,1,Brasil,201903,março 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.22,1,Brasil,201904,abril 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.39,1,Brasil,201905,maio 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.13,1,Brasil,201906,junho 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.20,1,Brasil,201907,julho 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.91,1,Brasil,201908,agosto 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.50,1,Brasil,201909,setembro 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.60,1,Brasil,201910,outubro 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.88,1,Brasil,201911,novembro 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.65,1,Brasil,201912,dezembro 2019,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.35,1,Brasil,202001,janeiro 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.81,1,Brasil,202002,fevereiro 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.84,1,Brasil,202003,março 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.11,1,Brasil,202004,abril 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.16,1,Brasil,202005,maio 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.60,1,Brasil,202006,junho 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
